"","V1"
"1",5
"2",3
"3",5
"4",2
"5",3
"6",4
"7",1
"8",1
"9",3
"10",6
"11",8
"12",10
"13",2
"14",2
"15",3
"16",6
"17",9
"18",1
"19",3
"20",3
"21",6
"22",5
"23",6
"24",9
"25",9
"26",5
"27",3
"28",5
"29",3
"30",3
"31",10
"32",5
"33",3
"34",3
"35",4
"36",5
"37",5
"38",4
"39",11
"40",3
"41",5
"42",11
"43",1
"44",9
"45",5
"46",4
"47",3
"48",3
"49",3
"50",8
"51",1
"52",8
"53",1
"54",3
"55",5
"56",3
"57",5
"58",4
"59",3
"60",5
"61",1
"62",10
"63",8
"64",3
"65",1
"66",1
"67",1
"68",1
"69",1
"70",1
"71",1
"72",1
"73",3
"74",9
"75",9
"76",7
"77",8
"78",10
"79",9
"80",3
"81",3
"82",10
"83",5
"84",9
"85",5
"86",11
"87",2
"88",2
"89",2
"90",7
"91",7
"92",2
"93",2
"94",7
"95",2
"96",2
"97",2
"98",9
"99",2
"100",6
"101",7
"102",2
"103",6
"104",5
"105",7
"106",10
"107",11
"108",11
"109",3
"110",6
"111",11
"112",11
"113",10
"114",6
"115",11
"116",3
"117",6
"118",11
"119",2
"120",3
"121",10
"122",3
"123",3
"124",3
"125",9
"126",6
"127",11
"128",2
"129",2
"130",9
"131",10
"132",8
"133",6
"134",6
"135",6
"136",10
"137",3
"138",3
"139",10
"140",3
"141",3
"142",11
"143",3
"144",10
"145",6
"146",5
"147",6
"148",8
"149",6
"150",3
"151",10
"152",3
"153",3
"154",11
"155",3
"156",3
"157",3
"158",2
"159",3
"160",3
"161",3
"162",3
"163",3
"164",6
"165",3
"166",11
"167",3
"168",5
"169",11
"170",2
"171",11
"172",6
"173",3
"174",6
"175",2
"176",11
"177",2
"178",3
"179",11
"180",3
"181",11
"182",1
"183",11
"184",8
"185",3
"186",3
"187",11
"188",6
"189",3
"190",6
"191",3
"192",3
"193",6
"194",11
"195",11
"196",10
"197",3
"198",10
"199",3
"200",2
"201",8
"202",3
"203",6
"204",2
"205",2
"206",7
"207",2
"208",11
"209",3
"210",11
"211",3
"212",10
"213",2
"214",3
"215",6
"216",2
"217",3
"218",6
"219",11
"220",3
"221",10
"222",2
"223",10
"224",10
"225",9
"226",3
"227",11
"228",7
"229",8
"230",10
"231",7
"232",10
"233",10
"234",7
"235",9
"236",11
"237",7
"238",10
"239",7
"240",8
"241",9
"242",11
"243",3
"244",3
"245",6
"246",10
"247",6
"248",10
"249",5
"250",6
"251",7
"252",10
"253",8
"254",7
"255",10
"256",6
"257",9
"258",4
"259",4
"260",10
"261",1
"262",10
"263",9
"264",4
"265",8
"266",9
"267",6
"268",4
"269",11
"270",3
"271",10
"272",7
"273",9
"274",8
"275",8
"276",7
"277",9
